,all,relation,weapon,mammal,bird,no-cat,animal,food,plant,object,fruit,communication,vegetable,measure,green,mean,median
spider,0.003479873177200537,0.0,0.0,0.0,0.0,0.0,0.0039011464650229536,0.0,0.0,0.003433988691417889,0.0,0.005175044787861521,0.0,0.0,0.0,0.0010660035414335267,0.0
whale,0.0004447545888906469,0.0,0.0,0.0007482287949348261,0.0,0.0,0.0005563078881055426,0.0,0.0,0.0004416757357120276,0.0,0.0,0.0,0.0,0.0,0.00014606446717620286,0.0
dog,0.0019611610209589935,0.0,0.0,0.0028667820990500694,0.0,0.0025821460675265846,0.002130719822259282,0.0017910524901742155,0.0,0.001945009691579158,0.0,0.0,0.0,0.0,0.0,0.0008851247461032202,0.0
bulgur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mushroom,0.004230845326002934,0.0,0.0,0.0,0.0,0.0,0.0,0.004180993146082602,0.0,0.00414816141957255,0.0,0.0,0.003350879534923423,0.0,0.0,0.001060725295105434,0.0
robin,0.0014436085406663154,0.0,0.0,0.0,0.00239579038488118,0.0,0.001762611453730885,0.0,0.0,0.0014449011023002893,0.0,0.0,0.0,0.0,0.0,0.0004697940987719113,0.0
lion,0.0010712597234025167,0.0,0.0,0.001599347121097903,0.0,0.0,0.0011340602651804808,0.0,0.0,0.001053320044826774,0.0,0.0,0.0,0.0,0.0,0.0003238658103005117,0.0
potato,0.00454555741096103,0.0,0.0,0.0,0.0,0.0,0.0,0.005015973156864236,0.0046522251065339165,0.004506027291618117,0.0,0.0,0.005044131863794487,0.0,0.0,0.0015842609886514525,0.0
corn,0.006161606604888473,0.00649019697805802,0.0,0.0,0.0,0.0,0.0,0.006600351450525453,0.006281125147524113,0.006146605555578135,0.006815368161616166,0.0,0.0,0.0,0.0,0.0025663502598793574,0.0
wasp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
